Response_ID,Language,Language_Label,Record_Type,Source_File,Timestamp,Q01_Physical_symptoms_PM25_smoke,Q02_Age_group,Q03_Activities_stopped_or_changed,Q04_Items_bought_or_used_more,Q05_Neighborhood_or_market_changes,Q06_Outdoor_smoke_management,Q07_Mood_or_stress_impact,Q08_Air_quality_affects_interaction,Q09_Indoor_air_and_heat_management,Q10_Less_time_public_places,Q11_Reasons_people_do_not_wear_masks,Q12_Only_wear_mask_when_sick_or_dusty,Q13_Dust_or_ash_cleaning_frequency,Q14_Main_reason_for_wearing_mask,Q15_Smoke_feels_normal_forever,Q16_Feelings_living_here_smoky_season,Q17_Remove_mask_in_air_conditioned_indoor_place,Q18_Biggest_cause_air_pollution,Q19_How_check_PM25_bad_today,Q20_Air_quality_improve_next_5_years
R050,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,27/03/2026 20:56:57,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues",26-40,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Air purifier or new filters","More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see","wear a mask, bring alcohol spray, Close all windows at home",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Same as usual,Perhaps they are not used to it or they think that it is not that serious.,"Yes, only when I feel bad or see dust.",Only when it's bad,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it",Burning trash or smoking cigarettes in public,I check through social media (Facebook/Line groups),"Yes, I believe it will get better."
R051,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,27/03/2026 21:45:48,"Allergic reactions (sneezing, itchy eyes)",Over 40,"Playing sports outdoors (football, running, etc.)",Medicines for cough or allergies,Not noticeable effect,travel by a car,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,Fear of infection,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now","I want to leave, but I have no choice because of my work or school.","No, I don't feel it is necessary to wear a mask indoors",Burning of agricultural fields and forests,"I don't check, I only notice it when I start feeling sick","No, I think it will stay the same or get worse."
R052,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 09:02:15,"Allergic reactions (sneezing, itchy eyes)",Over 40,Hanging out with friends at cafes or parks,"Face masks, Eye drops or nasal spray, Medicines for cough or allergies",More people are wearing masks,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,A little less than before.,Because they can't breathe well with facial mask during this hot weather.,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,I try not to think about it at all,"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
R053,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 13:34:35,"Allergic reactions (sneezing, itchy eyes)",26-40,Exercising or walking outside,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Open all windows and doors to let the air flow.,Only for work or food.,People should wear a mask go outside,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
R054,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 13:36:41,"Allergic reactions (sneezing, itchy eyes)",26-40,Hanging out with friends at cafes or parks,No,Everything looks grey,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Use fans and keep the window open.,A little less than before.,They think that they do not need,"Yes, only when I feel bad or see dust.",Only when it's bad,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public, Smoke coming from across the border / areas",I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
R055,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 14:04:54,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues",26-40,"Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot","Face masks, Indoor cleaning supplies","The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel normal / calm,"Yes, sometimes I talk less because I want to keep my mask on.",Open all windows and doors to let the air flow.,Only for work or food.,"Though it is the best way to protect smoke, wearing mask all day makes uncomfortable.","Yes, only when I feel bad or see dust.",Few times a week,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now",I think this area is still better than other provinces.,"Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
R056,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 15:35:20,"It becomes a little difficult go breathe, but it’s not an extreme issue.",Under 18,"Playing sports outdoors (football, running, etc.), Working or studying in outdoor areas",Air purifier or new filters,More people are wearing masks,I don’t usually manage the smoke,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Same as usual,"Perhaps it is not a prevalent problem for them, or people simply find it inconvenient to wear masks.","No, I rarely wear one anyway.",Only when it's bad,"I don't wear a mask, no one forces me to.","Yes, it's just a normal part of every year now, I try not to think about it at all","I don't care about the smoke, I just focus on my daily life.","Yes, it is easier to talk and eat without it","Smoke from old cars, trucks, and motorcycles, Smoke coming from across the border / areas",I check through social media (Facebook/Line groups),"Yes, I believe it will get better."
R057,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 16:31:25,"Allergic reactions (sneezing, itchy eyes)",Under 18,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,Fewer people are walking around or shopping,"wear a mask, bring alcohol spray, travel by a car",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.","Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Only for work or food.,They don't know the dangers of dust.,"No, I wear one all the time to stay safe.",Never,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I think this area is still better than other provinces.,"Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
R058,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 17:07:09,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, nosebleed",18-25,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Eye drops or nasal spray, Air purifier or new filters, Tissue paper","More people are wearing masks, Fewer people are walking around or shopping, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car, Hygiene post-exposure",I feel a little bit annoyed,"it depends on the person. Some people are highly sensitive to environmental stressors, while others are more stoic or may not even notice the shift.","Stay in a room with AC turned on with all windows closed., Stay in a room with air purifier",Only for work or food.,"In my view, many people find it physically uncomfortable to wear a mask for long periods.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"In my view, the situation will either improve over time or continue as it is today."
R059,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 17:59:41,"Feeling sick, tired, or dizzy overall",Over 40,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Exercising or walking outside",Face masks,"More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,A little less than before.,They don’t like using mask unless they feel they need it .,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)",I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
R060,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 22:27:31,"Feeling sick, tired, or dizzy overall",Under 18,"Playing sports outdoors (football, running, etc.), Exercising or walking outside",Face masks,"The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey",travel by a car,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Use fans and keep the window open.,Same as usual,Because the weather is hot and the mask increases the heat.,"Yes, only when I feel bad or see dust.",Everyday,"I wear it sometimes, but take it off when I'm not at work.",I try not to think about it at all,"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public","I don't check, I only notice it when I start feeling sick","Yes, I believe it will get better."
R061,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,28/03/2026 23:04:42,"Allergic reactions (sneezing, itchy eyes)",18-25,"Playing sports outdoors (football, running, etc.)",More electricity for fans or Air Conditioning (AC),The mountains or far-away buildings are hard to see,travel by a car,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Maybe people don’t realize about it’s impact that much,"No, I rarely wear one anyway.",Never,"I don't wear a mask, no one forces me to.","No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
R062,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,30/03/2026 19:04:11,Breathing problems or respiratory issues,26-40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Same as usual,"In my opinion, many people in Mae Sot choose not to wear masks outdoors due to a decreased perception of COVID-19 risk. Additionally, the hot climate makes mask-wearing uncomfortable, and some individuals believe it is no longer necessary.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now, No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)",I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
R063,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,30/03/2026 19:37:59,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Eye drops or nasal spray, Medicines for cough or allergies","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Less awareness for bad impact of air pollution,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R064,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,30/03/2026 21:07:17,"Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall",26-40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,"Fewer people are walking around or shopping, The air smells like like burning or woodsmoke","wear a mask, bring alcohol spray, travel by a car",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,lack of health education,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R065,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,30/03/2026 21:12:11,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall, Skin rashes",26-40,"Hanging out with friends at cafes or parks, Exercising or walking outside","Face masks, Eye drops or nasal spray","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,"As the weather is hot, wearing mask outdoors can be very uncomfortable. Some people probably cannot afford buying masks. For me personally, I don’t want to wear masks for a long time as they irritate my skin and cause acne problems.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R066,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,1/4/2026 13:57,Breathing problems or respiratory issues,Over 40,"Playing sports outdoors (football, running, etc.), Exercising or walking outside","Face masks, Air purifier or new filters","The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey",Checking air quality apps before leaving the house and minimizing time spent outdoors,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Monitor Air Quality: Only open windows for a quick "flush" of fresh air if the AQI (Air Quality Index) temporarily drops (usually in the very early morning or after a rare rain shower). Check apps like AirVisual or IQAir before opening up.,Only for work or food.,"The ""Heat and Humidity"" Factor Mae Sot is exceptionally hot, especially during the peak of the smoky season (March–April). Physical Discomfort: Wearing a tight-fitting N95 mask makes breathing feel restricted and causes the face to sweat profusely. It’s often a difficult trade-off. For many in Mae Sot, the choice isn't between ""being healthy"" and ""being stubborn""—it's often a choice between ""being able to work comfortably in 40°C heat"" and ""protecting their long-term health.","Yes, only when I feel bad or see dust.",Everyday,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now",I will stay here and just accept it as part of life.,"Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke coming from across the border / areas, Mountainous geography",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R067,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 9:08,"Allergic reactions (sneezing, itchy eyes)",Over 40,Traveling or going on trips around Maesot,Face masks,"More people are wearing masks, The air smells like like burning or woodsmoke","wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open.",A little less than before.,"Because of the weather, too hot to wear a mask","No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R068,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 9:08,"Feeling sick, tired, or dizzy overall",Under 18,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,"More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed and worried,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Only for work or food.,Bc they are lazy,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"I only notice it during the very hot months (Jan-May), I try not to think about it at all","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public, Smoke coming from across the border / areas",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
R069,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 9:26,"Feeling sick, tired, or dizzy overall",26-40,Working or studying in outdoor areas,Air purifier or new filters,Everything looks grey,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Use fans and keep the window open.,Staying inside mostly.,I think we are short of breath.,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"No, I don't feel it is necessary to wear a mask indoors","Smoke from old cars, trucks, and motorcycles",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
R070,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 9:31,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Working or studying in outdoor areas, Exercising or walking outside","Face masks, Indoor cleaning supplies, More electricity for fans or Air Conditioning (AC), Air purifier or new filters, Medicines for cough or allergies","More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Same as usual,because they feel the risk is low in open-air environments.,"No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R071,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 9:38,"Allergic reactions (sneezing, itchy eyes)",Over 40,Exercising or walking outside,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel normal / calm,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Because the weather is hot,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now","I don't care about the smoke, I just focus on my daily life.",I only wear it if there are many people around,Burning of agricultural fields and forests,I just look at the sky or clouds with my own eyes,"Yes, I believe it will get better."
R072,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 10:37,"Feeling sick, tired, or dizzy overall, Normal but atmosphere isn't clean",Under 18,"Playing sports outdoors (football, running, etc.), Working or studying in outdoor areas, Exercising or walking outside, Growing plants more than then",I didn't buy items because it didn't impact to me,"More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel normal / calm,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,I like to go public area but I'm busy to go,Atmosphere level is dirty but don't impact to people for now,"Yes, only when I feel bad or see dust.",Only when it's bad,"I don't wear a mask, no one forces me to.","No, I still feel it is a dangerous and unusual problem","I don't care about the smoke, I just focus on my daily life.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R073,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 11:34,"Feeling sick, tired, or dizzy overall",Under 18,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Exercising or walking outside","More electricity for fans or Air Conditioning (AC), Air purifier or new filters, Medicines for cough or allergies","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,"Because masks can be annoying, and also not everyone wants to wear them because it might be uncomfortable","No, I rarely wear one anyway.",Few times a week,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now","I want to leave, but I have no choice because of my work or school.","No, I don't feel it is necessary to wear a mask indoors",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R074,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 12:56,Breathing problems or respiratory issues,18-25,Working or studying in outdoor areas,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,They might feel annoying and uncomfortable.,"No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),I will stay here and just accept it as part of life.,"Yes, I feel safe from the smoke inside",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
R075,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,6/4/2026 15:07,Breathing problems or respiratory issues,26-40,"Exercising or walking outside, Running","Indoor cleaning supplies, Air purifier or new filters","More people are wearing masks, Fewer people are walking around or shopping, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,A little less than before.,"Habit, protect themselves from catching a virus","No, I rarely wear one anyway.",Only when it's bad,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now, No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"No, I don't feel it is necessary to wear a mask indoors","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
R076,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,7/4/2026 21:37,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall, Sleepy, Inactive and Drowsy",Over 40,Exercising or walking outside,"Face masks, More electricity for fans or Air Conditioning (AC)","More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Only few people really care about smoke in the environment. Many people do not pay attention to bad air quality in surroundings.,"Yes, only when I feel bad or see dust.",Few times a week,I usually wear mask not only smoke but also protect my skin from direct sunlight.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
R077,EN,English,Original,Maesot_and_Tak_Area_PM_2.5_response_English(1).csv,7/4/2026 22:30,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, More electricity for fans or Air Conditioning (AC)","More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,"In my opinion, many people do not wear masks outside due to discomfort, especially in hot weather, and a lack of awareness about the impact of air pollution on health.","No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),It will improve if consistent efforts are made by both the government and the community.
R078,TH,Thai,Dummy,Dummy generated from Thai response pattern,10/5/2026 14:06,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,ต่ำกว่า 18 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,เปิดหน้าต่างและประตูทุกบานเพื่อให้ระบายอากาศ,น้อยลงกว่าเดิมเล็กน้อย,_,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
